"ID" "ageOfParent" "sexOfParent" "survivalProb" "expectedAgeAtDeath" "mutationProbGametes" "mutationProbSC" "meanMutBias" "sdMutEffectSize" "mutationProbAgeGenes"
"226_0.0004_0.0004_-0.022_0.024_0" 6 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"226_0.0004_0.0004_-0.022_0.024_0" 7 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"226_0.0004_0.0004_-0.022_0.024_0" 7 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"226_0.0004_0.0004_-0.022_0.024_0" 8 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"226_0.0004_0.0004_-0.022_0.024_0" 8 "F" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"226_0.0004_0.0004_-0.022_0.024_0" 9 "F" 0.904837 6.12228 4e-04 4e-04 -0.022 0.024 0
"226_0.0004_0.0004_-0.022_0.024_0" 9 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"294_0.0004_0.0004_-0.022_0.024_0" 12 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"294_0.0004_0.0004_-0.022_0.024_0" 13 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"294_0.0004_0.0004_-0.022_0.024_0" 14 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"294_0.0004_0.0004_-0.022_0.024_0" 15 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"294_0.0004_0.0004_-0.022_0.024_0" 15 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"294_0.0004_0.0004_-0.022_0.024_0" 16 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"294_0.0004_0.0004_-0.022_0.024_0" 16 "M" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"294_0.0004_0.0004_-0.022_0.024_0" 16 "M" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"294_0.0004_0.0004_-0.022_0.024_0" 17 "M" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"294_0.0004_0.0004_-0.022_0.024_0" 17 "M" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"294_0.0004_0.0004_-0.022_0.024_0" 17 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"294_0.0004_0.0004_-0.022_0.024_0" 17 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"294_0.0004_0.0004_-0.022_0.024_0" 17 "M" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"298_0.0004_0.0004_-0.022_0.024_0" 0 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"298_0.0004_0.0004_-0.022_0.024_0" 1 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"298_0.0004_0.0004_-0.022_0.024_0" 2 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"298_0.0004_0.0004_-0.022_0.024_0" 2 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"298_0.0004_0.0004_-0.022_0.024_0" 3 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"298_0.0004_0.0004_-0.022_0.024_0" 3 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"298_0.0004_0.0004_-0.022_0.024_0" 3 "M" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"298_0.0004_0.0004_-0.022_0.024_0" 3 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"298_0.0004_0.0004_-0.022_0.024_0" 4 "M" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"298_0.0004_0.0004_-0.022_0.024_0" 5 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"298_0.0004_0.0004_-0.022_0.024_0" 5 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"298_0.0004_0.0004_-0.022_0.024_0" 5 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"298_0.0004_0.0004_-0.022_0.024_0" 5 "M" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"298_0.0004_0.0004_-0.022_0.024_0" 5 "M" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"300_0.0004_0.0004_-0.022_0.024_0" 2 "M" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"300_0.0004_0.0004_-0.022_0.024_0" 2 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"300_0.0004_0.0004_-0.022_0.024_0" 2 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"300_0.0004_0.0004_-0.022_0.024_0" 3 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"300_0.0004_0.0004_-0.022_0.024_0" 5 "M" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"300_0.0004_0.0004_-0.022_0.024_0" 5 "M" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"343_0.0004_0.0004_-0.022_0.024_0" 30 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"343_0.0004_0.0004_-0.022_0.024_0" 30 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"343_0.0004_0.0004_-0.022_0.024_0" 31 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"343_0.0004_0.0004_-0.022_0.024_0" 31 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
