"ID" "ageOfParent" "survivalProb" "expectedAgeAtDeath"
108 1 0.67032 1.75333
108 1 0.860708 4.48464
108 1 0.778801 2.84409
109 0 0.740818 2.37584
109 0 0.637628 1.53644
109 0 0.778801 2.84409
110 3 0.740818 2.37584
111 3 0.704688 2.02529
111 3 0.818731 3.50033
111 3 0.778801 2.84409
112 0 0.818731 3.50033
112 0 0.704688 2.02529
112 0 0.778801 2.84409
113 5 0.740818 2.37584
114 24 0.818731 3.50033
115 0 0.818731 3.50033
115 0 0.704688 2.02529
116 1 0.818731 3.50033
117 1 0.704688 2.02529
117 1 0.606531 1.35963
117 1 0.778801 2.84409
117 1 0.818731 3.50033
117 1 0.704688 2.02529
117 1 0.67032 1.75333
117 1 0.606531 1.35963
118 1 0.860708 4.48464
118 1 0.704688 2.02529
118 1 0.740818 2.37584
119 4 0.704688 2.02529
120 6 0.778801 2.84409
121 1 0.778801 2.84409
121 1 0.778801 2.84409
121 1 0.740818 2.37584
122 3 0.860708 4.48464
123 2 0.637628 1.53644
123 2 0.818731 3.50033
123 2 0.778801 2.84409
124 0 0.67032 1.75333
124 0 0.740818 2.37584
124 0 0.740818 2.37584
125 0 0.704688 2.02529
125 0 0.704688 2.02529
126 4 0.778801 2.84409
126 4 0.67032 1.75333
127 2 0.778801 2.84409
127 2 0.778801 2.84409
128 6 0.548812 1.0893
128 6 0.606531 1.35963
129 4 0.740818 2.37584
129 4 0.740818 2.37584
130 0 0.740818 2.37584
130 0 0.637628 1.53644
131 0 0.860708 4.48464
131 0 0.778801 2.84409
132 1 0.740818 2.37584
132 1 0.818731 3.50033
133 1 0.818731 3.50033
133 1 0.860708 4.48464
134 1 0.778801 2.84409
134 1 0.740818 2.37584
135 0 0.704688 2.02529
135 0 0.637628 1.53644
136 3 0.818731 3.50033
136 3 0.67032 1.75333
137 3 0.778801 2.84409
137 3 0.740818 2.37584
138 4 0.522046 0.983905
138 4 0.637628 1.53644
139 3 0.704688 2.02529
139 3 0.67032 1.75333
140 0 0.57695 1.21289
140 0 0.67032 1.75333
141 1 0.67032 1.75333
141 1 0.67032 1.75333
142 1 0.637628 1.53644
142 1 0.637628 1.53644
143 8 0.704688 2.02529
143 8 0.740818 2.37584
144 1 0.704688 2.02529
144 1 0.818731 3.50033
145 0 0.951229 9.38076
145 0 0.860708 4.48464
146 1 0.818731 3.50033
146 1 0.496585 0.893065
147 8 0.860708 4.48464
147 8 0.740818 2.37584
148 2 0.704688 2.02529
148 2 0.818731 3.50033
149 6 0.606531 1.35963
149 6 0.637628 1.53644
150 4 0.778801 2.84409
150 4 0.860708 4.48464
151 0 0.778801 2.84409
151 0 0.740818 2.37584
152 4 0.67032 1.75333
152 4 0.740818 2.37584
153 12 0.740818 2.37584
153 12 0.951229 9.38076
154 4 0.778801 2.84409
154 4 0.778801 2.84409
155 9 0.860708 4.48464
155 9 0.818731 3.50033
156 5 0.860708 4.48464
156 5 0.740818 2.37584
157 1 0.606531 1.35963
157 1 0.637628 1.53644
158 0 0.704688 2.02529
158 0 0.740818 2.37584
159 0 0.818731 3.50033
159 0 0.818731 3.50033
160 1 0.778801 2.84409
160 1 0.904837 6.12228
161 0 0.818731 3.50033
161 0 0.778801 2.84409
162 0 0.818731 3.50033
162 0 0.740818 2.37584
163 4 0.818731 3.50033
163 4 0.818731 3.50033
164 5 0.778801 2.84409
164 5 0.704688 2.02529
165 2 0.67032 1.75333
165 2 0.704688 2.02529
166 0 0.740818 2.37584
166 0 0.67032 1.75333
167 3 0.818731 3.50033
167 3 0.904837 6.12228
168 0 0.704688 2.02529
168 0 0.818731 3.50033
169 0 0.904837 6.12228
169 0 0.904837 6.12228
170 0 0.740818 2.37584
170 0 0.818731 3.50033
171 0 0.860708 4.48464
171 0 0.951229 9.38076
172 0 0.778801 2.84409
172 0 0.860708 4.48464
173 1 0.860708 4.48464
173 1 0.67032 1.75333
174 0 0.778801 2.84409
174 0 0.704688 2.02529
175 4 0.704688 2.02529
175 4 0.818731 3.50033
176 4 0.778801 2.84409
176 4 0.637628 1.53644
177 2 0.637628 1.53644
177 2 0.67032 1.75333
178 0 0.818731 3.50033
178 0 0.778801 2.84409
179 1 0.778801 2.84409
179 1 0.904837 6.12228
180 12 0.818731 3.50033
180 12 0.740818 2.37584
181 3 0.740818 2.37584
181 3 0.860708 4.48464
182 1 0.606531 1.35963
182 1 0.740818 2.37584
183 3 0.704688 2.02529
183 3 0.818731 3.50033
184 0 0.67032 1.75333
184 0 0.740818 2.37584
185 1 0.778801 2.84409
185 1 0.740818 2.37584
186 0 0.67032 1.75333
186 0 0.740818 2.37584
187 1 0.740818 2.37584
187 1 0.704688 2.02529
188 10 0.740818 2.37584
188 10 0.637628 1.53644
189 1 0.778801 2.84409
189 1 0.637628 1.53644
190 6 0.740818 2.37584
190 6 0.740818 2.37584
191 7 0.606531 1.35963
191 7 0.67032 1.75333
192 1 0.637628 1.53644
192 1 0.637628 1.53644
193 5 0.860708 4.48464
193 5 0.704688 2.02529
194 4 0.704688 2.02529
194 4 0.778801 2.84409
195 1 0.740818 2.37584
195 1 0.704688 2.02529
196 1 0.778801 2.84409
196 1 0.904837 6.12228
197 1 0.818731 3.50033
197 1 0.637628 1.53644
198 2 0.778801 2.84409
198 2 0.818731 3.50033
199 0 0.704688 2.02529
199 0 0.740818 2.37584
200 0 0.740818 2.37584
200 0 0.740818 2.37584
201 10 0.778801 2.84409
201 10 0.606531 1.35963
202 1 0.67032 1.75333
202 1 0.67032 1.75333
203 1 0.704688 2.02529
203 1 0.740818 2.37584
204 5 0.637628 1.53644
204 5 0.704688 2.02529
205 11 0.904837 6.12228
205 11 0.740818 2.37584
206 0 0.904837 6.12228
206 0 0.778801 2.84409
207 2 0.704688 2.02529
207 2 0.740818 2.37584
208 0 0.704688 2.02529
208 0 0.522046 0.983905
209 8 0.778801 2.84409
209 8 0.818731 3.50033
210 2 0.740818 2.37584
210 2 0.818731 3.50033
211 2 0.904837 6.12228
211 2 0.818731 3.50033
212 2 0.637628 1.53644
212 2 0.740818 2.37584
213 1 0.778801 2.84409
213 1 0.740818 2.37584
214 10 0.67032 1.75333
214 10 0.778801 2.84409
215 2 0.818731 3.50033
